id,name
3227,Guadalupe Bañuelos
3225,Calera
3210,Benito Juarez
3214,Aguanaval
3223,Guadalupe de Las Corrientes
3216,Sain Alto
3215,Abrego
3221,Camacho
3222,El Cardito
3224,Puerto Madero
3233,Pino Suarez
3203,Corrales
3213,Villa Garcia
3204,Valparaiso
3201,Sabinas
3212,Ojocaliente
3228,La Blanca
3234,Saldaña
3230,Villa Hidalgo
3226,Chupaderos
3232,Espiritu Santo
3229,Loreto
3208,Nochistlan
3209,Jalpa - Juchipila
3205,Jerez
3217,El Palmar
3231,Pinos
3207,Garcia de La Cadena
3211,Villanueva
3206,Tlaltenango - Tepechitlan
3202,Hidalgo
3220,Guadalupe Garzaron
3219,El Salvador
3218,Cedros
3018,Jalapa - Coatepec
3001,Poza Rica
3003,Martinez de La Torre - Nautla
3005,Valle de Actopan
3010,Los Naranjos
3019,Cuenca Rio Papaloapan
3020,Costera del Papaloapan
3016,Sierra de San Andres Tuxtla
3011,Soteapan - Hueyapan
3017,Tampico - Misantla
3014,Alamo - Tuxpan
3007,Orizaba - Cordoba
3009,Omealca - Huixcolotla
3008,Cotaxtla
3004,Perote - Zalayeta
3002,Tecolutla
3006,Costera de Veracruz
3012,Costera de Coatzacoalcos
2903,Huamantla
2901,Alto Atoyac
2904,Emiliano Zapata
2902,Soltepec
2808,Victoria - Casas
2805,Jimenez - Abasolo
2809,Aldama - Soto La Marina
2813,Zona Sur
2810,Palmillas - Jaumave
2801,Bajo Rio Bravo
2802,Mendez - San Fernando
2814,Tula - Bustamante
2811,Llera - Xicotencatl
2812,Ocampo - Antiguo Morelos
2705,La Sierra
2707,Los Rios
2706,Macuspana
2703,Samaria - Cunduacan
2704,Centla
2701,Huimanguillo
2702,La Chontalpa
2708,Boca del Cerro
2642,Valle del Mayo
2635,Valle de Guaymas
2626,Rio Zanjon
2624,Rio Sonora
2625,Rio San Miguel
2633,Rio Moctezuma
2632,Rio Frontera
2613,Rio Alisos
2612,Magdalena
2606,Los Chirriones
2610,Coyotillo
2609,Busani
2611,La Tinaja
2622,La Poza
2623,Santa Rosalia
2627,Rio Bacoachi
2628,Rio Bacanuchi
2637,Rio Bacanora
2638,Rio Sahuaripa
2639,Rio Tecoripa
2646,Rosario - Tesopaco - El Quiriego
2647,Onavas
2648,Soyopa
2651,Batevito
2652,Villa Hidalgo
2653,Huasabas
2654,Bacadehuachi
2656,Cumuripa
2657,Agua Caliente
2660,Cuitaca
2661,Cumpas
2631,Rio Bavispe
2655,Nacori Chico
2658,San Bernardo
2649,Yecora
2634,Rio Matape
2621,Mesa del Seri - La Victoria
2614,Cocospera
2602,Los Vidrios
